district,election_year,total_pop,male_pop_percent,female_pop_percent,under_5_percent,5_to_9_percent,10_to_14_percent,15_to_19_percent,20_to_24_percent,25_to_34_percent,35_to_44_percent,45_to_54_percent,55_to_59_percent,60_to_64_percent,65_to_74_percent,75_to_84_percent,over_85_percent,median_age,18_and_over_percent,21_and_over_percent,62_and_over_percent,65_and_over_percent,18_and_over_male_percent,18_and_over_female_percent,65_and_over_male_percent,65_and_over_female_percent,white_pop_percent,black_pop_percent,american_indian_alaska_native_pop_percent,asian_pop_percent,native_hawaiian_pacific_islander_pop_percent,other_race_pop_percent,hispanic_pop_percent,total_housing_units
NM01,2016,699493,48.8,51.2,6.1,6.4,6.3,6.2,7.2,14.5,12.2,13.2,6.6,6.4,8.6,4.6,1.6,37.7,77.5,73.4,18.5,14.8,48.5,51.5,43.8,56.2,40.7,2.4,3.9,2.1,0.0,0.5,48.8,301123
NM02,2016,699424,50.1,49.9,7.0,7.1,7.0,7.4,8.0,12.4,11.0,12.2,6.0,6.2,9.2,5.1,1.4,36.1,74.8,70.1,19.3,15.7,49.9,50.1,47.0,53.0,37.7,1.7,5.1,0.8,0.0,0.1,53.4,304327
NM03,2016,686655,49.7,50.3,6.4,7.0,6.8,7.0,6.5,12.8,12.1,12.5,7.4,6.2,8.9,4.5,1.7,38.0,75.8,71.4,18.9,15.2,48.9,51.1,45.4,54.6,37.7,1.4,17.7,1.3,0.0,0.1,40.7,307460
NY01,2016,725932,49.2,50.8,5.5,5.4,6.9,6.9,6.5,10.7,12.5,15.7,7.6,6.1,9.5,4.9,2.0,41.8,78.3,74.1,19.8,16.4,48.6,51.4,44.5,55.5,76.6,5.0,0.3,3.7,0.0,0.2,12.8,308215
NY02,2016,724171,48.9,51.1,5.4,6.7,6.0,6.8,7.1,12.7,12.5,16.2,7.4,5.6,7.6,4.1,1.9,39.1,77.5,73.5,16.9,13.6,48.5,51.5,40.9,59.1,64.1,9.5,0.0,2.5,0.0,0.4,22.0,241254
NY03,2016,718780,48.9,51.1,4.6,6.1,6.6,6.7,5.9,9.3,11.7,16.5,7.8,6.3,9.2,6.0,3.2,44.4,78.4,74.9,22.2,18.5,48.2,51.8,44.0,56.0,68.1,2.6,0.2,15.0,0.0,0.6,12.3,264312
NY04,2016,721920,48.3,51.7,6.0,6.0,6.2,6.7,6.5,12.3,12.8,14.5,6.9,6.3,8.4,4.8,2.5,40.3,77.7,73.8,19.2,15.7,47.3,52.7,41.5,58.5,57.8,13.8,0.1,6.4,0.0,0.3,20.1,246424
NY05,2016,760487,47.2,52.8,6.6,6.1,6.2,6.5,7.4,13.9,12.8,14.8,7.3,5.2,7.6,3.9,1.7,37.4,77.3,73.1,16.0,13.2,46.5,53.5,40.3,59.7,10.4,49.0,0.3,13.7,0.1,5.2,18.4,244124
NY06,2016,733419,48.0,52.0,5.9,4.9,4.4,4.7,5.8,15.0,14.7,14.8,7.5,6.5,8.5,4.9,2.4,41.3,81.8,78.9,19.4,15.8,47.3,52.7,42.1,57.9,35.0,3.4,0.1,39.6,0.0,0.3,19.6,289505
NY07,2016,732079,48.9,51.1,7.5,6.1,5.1,5.8,8.0,20.4,14.9,12.5,5.6,4.5,5.2,3.2,1.3,33.4,77.8,74.3,12.2,9.7,48.6,51.4,41.4,58.6,30.2,7.7,0.1,19.4,0.0,0.3,40.7,274845
