District,Winner,Winner Spent,Secong-Highest Vote-Getter,Runner-Up Spent,Ratio
OH11,Marcia L. Fudge,"$497,385 ",Mark Zetzer,$0 ,More than 10:1
TX09,Al Green,"$483,696 ",Johnny Johnson,$0 ,More than 10:1
KY04,Thomas Massie,"$478,876 ",Unopposed,$0 ,More than 10:1
VA03,Bobby Scott,"$473,415 ",Justin J. Gandino-Saadein,$0 ,More than 10:1
FL14,Kathy Castor,"$472,947 ",Unopposed,$0 ,More than 10:1
IL07,Danny K. Davis,"$469,170 ",Gregory Seal Livingston,$0 ,More than 10:1
TN01,Phil Roe,"$426,805 ",Robert D. Franklin,$0 ,More than 10:1
TX16,Beto O'Rourke,"$409,513 ",Jaime O. Perez,$0 ,More than 10:1
IL04,Luis V. Gutierrez,"$408,968 ",Unopposed,$0 ,More than 10:1
MO01,William L. Clay Jr,"$384,886 ",Daniel Elder,$0 ,More than 10:1
AZ08,Trent Franks,"$369,180 ",Stephen Dolgos,$0 ,More than 10:1
NY27,Chris Collins,"$366,415 ",Jim O'Donnell,$0 ,More than 10:1
OK01,James Bridenstine,"$365,520 ",Unopposed,$0 ,More than 10:1
IL01,Bobby L. Rush,"$344,604 ",Jimmy Lee Tillman,$0 ,More than 10:1
NY15,Jose E. Serrano,"$165,918 ",William Edstrom,$0 ,More than 10:1
TN08,Steve Fincher,"$629,223 ",Wes Bradley,$84 ,More than 10:1
WY01,Cynthia Marie Lummis,"$300,949 ",Daniel Cummings,$194 ,More than 10:1
IN03,Marlin Stutzman,"$1,061,403 ",Justin Kuhnle,$760 ,More than 10:1
CA23,Kevin McCarthy,"$5,920,014 ",Raul Garcia,"$8,931 ",More than 10:1
NY13,Charles B. Rangel,"$1,515,860 ",Daniel Vila Rivera,"$2,302 ",More than 10:1
OH12,Patrick J. Tiberi,"$2,358,505 ",Bob Hart,"$4,740 ",More than 10:1
CA39,Ed Royce,"$1,743,860 ",Peter O. Anderson,"$4,208 ",More than 10:1
TX32,Pete Sessions,"$3,015,805 ",Frank Perez,"$8,388 ",More than 10:1
MD02,Dutch Ruppersberger,"$893,338 ",Ian Schlakman,"$2,786 ",More than 10:1
CA13,Barbara Lee,"$1,100,730 ",Dakin Sundeen,"$4,790 ",More than 10:1
KS04,Mike Pompeo,"$2,673,678 ",Perry Schuckman,"$12,195 ",More than 10:1
MD03,John Sarbanes,"$756,851 ",Charles A. Long,"$3,715 ",More than 10:1
OH03,Joyce Beatty,"$612,031 ",John Adams,"$3,059 ",More than 10:1
CA38,Linda Sanchez,"$1,027,338 ",Benjamin Campos,"$5,246 ",More than 10:1
NC08,Richard Hudson,"$1,143,349 ",Antonio Blue,"$6,278 ",More than 10:1
CT03,Rosa L. DeLauro,"$1,236,492 ",James Brown,"$6,836 ",More than 10:1
KY05,Hal Rogers,"$1,125,831 ",Ken Stepp,"$6,253 ",More than 10:1
PA09,Bill Shuster,"$3,924,437 ",Alanna K Hartzok,"$22,255 ",More than 10:1
CA30,Brad Sherman,"$842,753 ",Mark Reed,"$5,065 ",More than 10:1
VT01,Peter Welch,"$700,782 ",Mark Donka,"$4,557 ",More than 10:1
TX10,Michael McCaul,"$1,599,939 ",Tawana W. Cadien,"$10,500 ",More than 10:1
IN05,Susan Brooks,"$1,018,137 ",John Krom,"$6,948 ",More than 10:1
MD05,Steny H. Hoyer,"$3,843,175 ",Chris Chaffee,"$26,577 ",More than 10:1
OR03,Earl Blumenauer,"$1,177,555 ",James Buchal,"$8,377 ",More than 10:1
NJ09,Bill Pascrell Jr,"$1,161,104 ",Dierdre Paul,"$8,823 ",More than 10:1
CA02,Jared Huffman,"$712,985 ",Dale Kenneth Mensing,"$5,462 ",More than 10:1
TX06,Joe Barton,"$1,659,548 ",David Cozad,"$12,826 ",More than 10:1
MS04,Steven Palazzo,"$1,178,696 ",Joey Robinson,"$9,580 ",More than 10:1
IL16,Adam Kinzinger,"$1,377,467 ",Randall Olsen,"$11,505 ",More than 10:1
GA06,Tom Price,"$1,724,934 ",Bob Montigel,"$14,572 ",More than 10:1
CA28,Adam Schiff,"$870,294 ",Steve Stokes,"$7,410 ",More than 10:1
WA02,Rick Larsen,"$1,112,277 ",BJ Guillot,"$9,984 ",More than 10:1
AL03,Mike D. Rogers,"$936,331 ",Jesse Smith,"$9,000 ",More than 10:1
IN06,Luke Messer,"$841,608 ",Susan Hall Heitzman,"$8,149 ",More than 10:1
CA15,Eric Swalwell,"$1,669,313 ",Hugh Bussell,"$16,477 ",More than 10:1
RI01,David Cicilline,"$1,212,281 ",Cormick Lynch,"$12,852 ",More than 10:1
WA07,Jim McDermott,"$581,722 ",Craig Keller,"$6,229 ",More than 10:1
CA43,Maxine Waters,"$1,062,921 ",John Wood Jr,"$11,819 ",More than 10:1
OH08,John Boehner,"$17,106,253 ",Tom Poetter,"$192,079 ",More than 10:1
MD08,Chris Van Hollen,"$1,357,452 ",Dave Wallace,"$15,818 ",More than 10:1
LA02,Cedric Richmond,"$1,133,989 ",David Brooks,"$13,717 ",More than 10:1
CA46,Loretta Sanchez,"$1,284,391 ",Adam Nick,"$15,757 ",More than 10:1
FL04,Ander Crenshaw,"$1,642,950 ",Paula Moser-Bartlett,"$20,636 ",More than 10:1
AL02,Martha Roby,"$793,565 ",Erick Wright,"$10,473 ",More than 10:1
IL15,John M. Shimkus,"$1,816,163 ",Eric Thorsland,"$24,243 ",More than 10:1
IN01,Pete Visclosky,"$892,912 ",Mark J. Leyva,"$11,942 ",More than 10:1
IN07,Andre Carson,"$782,921 ",Catherine Ping,"$10,917 ",More than 10:1
NY02,Pete King,"$811,981 ",Pat Maher,"$11,610 ",More than 10:1
NC05,Virginia Foxx,"$693,139 ",Josh Brannon,"$9,946 ",More than 10:1
WA09,Adam Smith,"$795,120 ",Doug Basler,"$11,664 ",More than 10:1
CO01,Diana DeGette,"$1,068,909 ",Martin H. Walsh,"$16,324 ",More than 10:1
IL02,Robin Kelly,"$1,414,097 ",Eric M. Wallace,"$21,789 ",More than 10:1
IL18,Aaron Schock,"$1,530,975 ",Darrel Miller,"$23,609 ",More than 10:1
NV02,Mark Amodei,"$698,200 ",Kristen Spees,"$10,904 ",More than 10:1
GA02,Sanford Bishop,"$1,050,925 ",Greg Duke,"$17,383 ",More than 10:1
RI02,Jim Langevin,"$811,117 ",Rhue Reis,"$13,547 ",More than 10:1
NJ04,Chris Smith,"$459,641 ",Ruben Scolavino,"$8,037 ",More than 10:1
CA37,Karen Bass,"$822,020 ",R. Adam King,"$14,692 ",More than 10:1
MO04,Vicky Hartzler,"$707,937 ",Nate Irvin,"$12,654 ",More than 10:1
WA06,Derek Kilmer,"$1,239,105 ",Martin McClendon,"$23,310 ",More than 10:1
PA04,Scott Perry,"$460,839 ",Linda Thompson,"$8,787 ",More than 10:1
DE01,John Carney,"$1,146,816 ",Rose Izzo,"$21,925 ",More than 10:1
CT01,John B. Larson,"$1,659,154 ",Matthew Corey,"$32,290 ",More than 10:1
MN05,Keith Ellison,"$1,984,754 ",Doug Daggett,"$39,018 ",More than 10:1
