state_district,election,name,party,incumbent_challenger_open,receipts,from_individuals,from_committees,from_candidate,disbursements,cash_on_hand,debts
AZ02,2018,HEINZ MATTHEW GERALD,Democratic Party,Open,854723.68,452885.22,26500.0,375338.46,360926.6,493797.08,350000.0
AZ02,2018,KIRKPATRICK ANN,Democratic Party,Open,1764194.32,1364953.83,322516.83,2700.0,927266.65,836927.67,0.0
AZ02,2018,KOVACS WILLIAM RICHARD,Democratic Party,Open,71922.37,41469.7,0.0,30452.67,54978.32,12738.79,6500.0
AZ02,2018,MARQUEZ PETERSON LEA,Republican Party,Open,707389.85,651089.0,25500.0,30800.0,198321.91,509067.94,30800.0
AZ02,2018,MARTIN BRANDON RAY,Republican Party,Open,24537.19,23400.08,0.0,875.59,23012.8,1524.39,0.0
AZ02,2018,MATIELLA MARIA MARY,Democratic Party,Open,260491.47,236087.71,184.0,24079.76,193512.87,66978.6,10000.0
AZ02,2018,MORALES DANIEL ROMERO JR,Republican Party,Open,6364.6,5537.84,0.0,826.76,6046.04,318.56,0.0
AZ02,2018,SHERRY BARBARA LOUISE,Democratic Party,Open,6815.77,1715.77,0.0,5100.0,1692.43,54.89,0.0
AZ02,2018,WELCH CASEY BURKE MR.,Republican Party,Open,14196.7,750.0,0.0,13446.7,13401.7,200.0,0.0
AZ02,2018,WHEELER BRUCE,Democratic Party,Open,22362.59,21344.76,0.0,1017.83,11985.6,10376.99,0.0
AZ02,2018,WILES MARILYN MS,Republican Party,Open,10020.0,6520.0,1000.0,2500.0,3558.0,6461.0,1000.0
AZ02,2018,YUKSEL YAHYA,Democratic Party,Open,48603.78,48603.78,0.0,0.0,35840.16,12763.62,0.0
AZ03,2018,GRIJALVA RAUL M,Democratic Party,Incumbent,494182.47,303098.87,184000.0,0.0,401027.4,151305.36,4015.59
AZ03,2018,ARELLANO SERGIO,Republican Party,Challenger,34159.77,30653.25,0.0,3481.52,24358.21,9801.56,0.0
AZ03,2018,PIERSON JOE NICOLAS,Republican Party,Challenger,21543.0,14184.0,0.0,609.0,15009.0,6533.0,609.0
AZ03,2018,SAN MIGUEL EDNA,Republican Party,Challenger,10305.0,10155.0,0.0,150.0,8034.43,-199.85,0.0
AZ04,2018,GOSAR PAUL DR.,Republican Party,Incumbent,403996.59,236842.62,150900.0,0.0,239031.0,272558.62,0.0
AZ04,2018,BRILL DAVID H,Democratic Party,Challenger,176358.0,71358.0,0.0,105000.0,144968.0,31390.0,0.0
AZ04,2018,DISANTO DELINA,Democratic Party,Challenger,12840.02,3389.42,0.0,9450.6,9692.76,3147.26,24000.0
AZ04,2018,PEREZ GISSY ANA MARIA MS,Democratic Party,Challenger,8392.94,5412.94,0.0,30.0,7807.09,585.85,450.0
AZ05,2018,MENOR SCOTT A,Democratic Party,Open,4644.0,617.0,0.0,4027.0,7831.96,-3187.96,4000.0
AZ05,2018,BIGGS ANDY MR.,Other,Incumbent,641681.58,264699.01,229230.0,0.0,335763.72,354514.94,131000.0
AZ05,2018,GREENE JOAN,Democratic Party,Challenger,68953.99,15822.37,0.0,50525.0,57217.06,11706.93,50525.0
AZ05,2018,MARGALIS TONY,Democratic Party,Challenger,3220.53,100.0,0.0,620.53,3220.53,0.0,0.0
AZ05,2018,TORRES JOSE LAZARO,Democratic Party,Challenger,10411.74,7580.0,0.0,2831.74,10862.76,-451.02,2825.74
AZ06,2018,SCHWEIKERT DAVID,Republican Party,Incumbent,1381830.67,269918.25,743500.0,0.0,871743.42,538489.42,42132.12
AZ06,2018,MALIK ANITA,Democratic Party,Challenger,106397.31,106397.31,0.0,0.0,84947.05,21625.26,0.0
AZ06,2018,MCFADDEN GARRICK ARVIN MR.,Democratic Party,Challenger,96369.75,56350.62,2500.0,34974.85,94418.95,1950.8,26874.85
AZ06,2018,ROSS HEATHER MAURA,Democratic Party,Challenger,357221.98,326886.35,19500.0,6572.25,279714.71,77507.27,0.0
AZ06,2018,WILLIAMSON W JOHN,Democratic Party,Challenger,976.94,208.94,0.0,768.0,1109.65,18.71,12999.41
AZ07,2018,GALLEGO RUBEN,Democratic Party,Incumbent,792032.6,376132.02,414199.86,0.0,441538.69,733754.7,0.0
AZ07,2018,MIRANDA CATHERINE,Democratic Party,Challenger,28190.97,25190.97,3000.0,0.0,22448.66,5742.31,3542.31
AZ08,2018,ALLEN CHAD,Republican Party,Open,33011.58,4625.0,0.0,28386.58,33011.58,0.0,0.0
AZ08,2018,DILLEY BRENDEN,Republican Party,Open,47018.77,47016.09,0.0,0.0,47014.81,3.96,0.0
AZ08,2018,LIEN DAVID,Republican Party,Open,17745.0,15595.0,0.0,2000.0,19382.76,-1637.76,0.0
AZ08,2018,LOVAS PHIL,Republican Party,Open,318412.83,251617.0,15250.0,45806.43,318412.83,0.0,0.0
AZ08,2018,MACK RICHARD,Republican Party,Open,72709.69,40277.69,0.0,32432.0,72709.69,0.0,0.0
AZ08,2018,MCHALE JUDITH KEENAN,Democratic Party,Open,4845.0,4145.0,200.0,0.0,3847.62,-820.1,0.0
AZ08,2018,MONTENEGRO STEVE,Republican Party,Open,356446.69,321446.69,35000.0,0.0,356446.69,0.0,0.0
AZ08,2018,SAWDY STEVEN,Republican Party,Open,1000.0,0.0,0.0,1000.0,389.0,611.0,0.0
AZ08,2018,STUMP BOB,Republican Party,Open,21980.0,21980.0,0.0,0.0,21980.0,13484.68,0.0
AZ08,2018,SYLVESTER CHRISTOPHER,Other,Open,8403.13,629.0,0.0,7774.13,7917.18,485.95,0.0
AZ08,2018,TIPIRNENI HIRAL,Democratic Party,Open,2848325.23,2676706.41,78145.99,93443.05,2548320.06,300005.17,70000.0
AZ08,2018,WESTBROOK BRIANNA,Democratic Party,Open,42870.67,39170.67,250.0,275.0,38439.89,0.0,0.0
AZ08,2018,FRANKS TRENT*,Republican Party,Incumbent,139709.55,44815.0,93250.0,0.0,147159.52,0.0,0.0
AZ08,2018,LESKO DEBBIE,Republican Party,Incumbent,1357889.71,978816.94,324515.08,26703.59,1201031.46,156858.25,25000.0
AZ08,2018,MUSSELWHITE ROBERT RICHARD,Democratic Party,Challenger,7051.84,0.0,0.0,0.0,6932.0,140.0,0.0
AZ09,2018,ARAUJO HECTOR MR.,Democratic Party,Open,3580.0,3580.0,0.0,0.0,1849.0,1731.0,0.0
AZ09,2018,BARONESS VON BEHR IRINA,Republican Party,Open,21244.38,425.0,0.0,19623.99,16135.83,5108.55,19623.99
AZ09,2018,FERRARA STEVE MD,Republican Party,Open,1008475.13,784098.47,122700.0,101676.66,273650.51,734824.62,90000.0
AZ09,2018,FUENTES TALIA,Democratic Party,Open,44664.14,44664.14,0.0,0.0,43867.05,797.09,0.0
AZ09,2018,GILES DAVID VICTOR,Republican Party,Open,52584.45,6906.17,0.0,45678.28,52336.33,295.79,288200.27
AZ09,2018,LEIBSOHN SETH MR.,Republican Party,Open,144446.73,141946.73,2500.0,0.0,122023.14,22423.59,0.0
AZ09,2018,STANTON GREG,Democratic Party,Open,1571746.28,1344636.2,170733.49,0.0,406571.8,1165174.48,0.0
AR01,2018,CRAWFORD ERIC ALAN RICK,Republican Party,Incumbent,748933.32,395526.27,351407.05,0.0,578332.73,429177.59,0.0
AR01,2018,DESAI CHINTAN,Democratic Party,Challenger,54976.38,51055.92,3920.46,0.0,48986.46,5989.92,0.0
AR02,2018,HILL JAMES FRENCH,Republican Party,Incumbent,1954935.48,1085285.48,867150.0,0.0,958547.31,1645057.04,0.0
AR02,2018,COMBS GWENDOLYNN MILLEN MRS.,Democratic Party,Challenger,33934.76,32035.36,0.0,1899.4,31423.38,3012.03,0.0
AR02,2018,DUNKLEY JONATHAN,Democratic Party,Challenger,34466.05,24466.05,0.0,10000.0,34298.21,417.84,10000.0
AR02,2018,SPENCER PAUL JOHN MR.,Democratic Party,Challenger,267100.29,264861.34,0.0,1583.0,266373.8,726.49,0.0
AR02,2018,TUCKER EVERETT CLARKE IV,Democratic Party,Challenger,975518.06,904973.04,70345.02,200.0,589126.93,386391.13,0.0
AR03,2018,WOMACK STEVE,Republican Party,Incumbent,852724.55,379142.2,467452.0,0.0,738900.39,1279640.32,0.0
AR03,2018,MAHONY JOSH,Democratic Party,Challenger,156971.74,74380.43,1000.0,81591.31,105488.26,51483.48,46666.0
AR03,2018,RYERSE ROBERT,Republican Party,Challenger,50302.95,39302.95,0.0,11000.0,42944.59,7357.92,0.0
AR04,2018,WESTERMAN BRUCE,Republican Party,Incumbent,1330852.76,722208.76,608132.0,0.0,673367.02,1002019.55,0.0
AR04,2018,CALDWELL RANDY,Republican Party,Challenger,14450.0,14450.0,0.0,0.0,15452.0,4847.0,0.0
AR04,2018,MCQUEEN LEE,Other,Challenger,1121.29,842.6,0.0,109.81,1009.62,0.0,0.0
AR04,2018,SHAMEL HAYDEN CATHERINE,Democratic Party,Challenger,91334.32,79069.12,6113.54,2718.04,72771.66,18562.66,0.0
CA01,2018,LAMALFA DOUG,Republican Party,Incumbent,591492.08,292282.0,297202.08,0.0,266795.53,414172.15,0.0
CA01,2018,DENNEY AUDREY,Democratic Party,Challenger,342954.92,318769.17,5300.0,18885.75,202989.77,139965.15,18885.75
CA01,2018,DUNCAN DENNIS DEAN,Democratic Party,Challenger,7521.15,4536.72,0.0,2457.24,3790.37,0.02,0.0
CA01,2018,ELBINGER LEWIS,Other,Challenger,16403.37,3070.0,0.0,13333.33,16403.37,0.0,0.0
CA01,2018,HOLCOMBE JESSICA JONES,Democratic Party,Challenger,290020.57,288416.57,0.0,1604.0,278822.54,11198.03,992.97
CA01,2018,PETERSON DAVID,Democratic Party,Challenger,17275.0,2275.0,0.0,15000.0,12697.0,4578.0,15000.0
CA01,2018,STORMENT BRANDON,Democratic Party,Challenger,1019.06,3.43,0.0,1015.63,1019.06,0.0,0.0
CA01,2018,WALTERS MARTHA,Democratic Party,Challenger,68655.53,49715.01,2000.0,16940.52,55918.14,12737.39,629.0
CA02,2018,HUFFMAN JARED,Democratic Party,Incumbent,734206.21,447044.47,279640.5,0.0,594837.83,740176.72,0.0
CA02,2018,MENSING DALE KENNETH,Republican Party,Challenger,4041.0,715.0,0.0,3226.0,3026.25,1454.0,0.0
CA03,2018,GARAMENDI JOHN,Democratic Party,Incumbent,820328.69,278509.28,537660.3,0.0,414841.22,849253.4,0.0
CA03,2018,SCHAUPP CHARLES EUGENE,Republican Party,Challenger,25404.5,3151.0,2000.0,20000.0,10536.51,10493.5,10000.0
CA04,2018,MCCLINTOCK THOMAS,Republican Party,Incumbent,1188803.73,1040713.57,146700.0,0.0,804810.05,670974.6,610.61
CA04,2018,BATESON REGINA,Democratic Party,Challenger,799997.61,794000.5,0.0,1766.99,796479.46,3518.15,0.0
CA04,2018,CALDERON ROZA I,Democratic Party,Challenger,97376.41,42376.41,0.0,55000.0,32122.37,66106.84,55000.0
CA04,2018,MORSE JESSICA,Democratic Party,Challenger,1461622.61,1383909.15,42381.44,231.81,925668.65,535953.96,0.0
CA04,2018,WHITE MITCHELL,Republican Party,Challenger,11496.0,4646.0,0.0,6850.0,10315.94,-3779.25,350.0
CA04,2018,WILCOX ROCHELLE LYN,Democratic Party,Challenger,24438.0,20438.0,0.0,4000.0,24438.0,0.0,0.0
CA05,2018,THOMPSON MIKE MR.,Democratic Party,Incumbent,1610159.64,595791.2,999019.36,0.0,1497407.97,1630130.11,10669.17
CA06,2018,MATSUI DORIS,Democratic Party,Incumbent,831650.28,227249.24,604123.59,0.0,770089.12,436534.87,0.0
CA07,2018,BERA AMERISH,Democratic Party,Incumbent,2201131.62,1275684.39,921600.0,20.89,593031.16,1741011.41,297800.0
CA07,2018,BARASH YONA,Republican Party,Challenger,319247.52,171631.5,0.0,147506.24,316837.74,2409.78,16541.7
CA07,2018,GRANT ANDREW,Republican Party,Challenger,373086.78,353295.05,19250.0,25.0,300891.94,72194.84,24344.48
CA07,2018,WESTMORELAND BRAD,Democratic Party,Challenger,2581.95,1812.1,500.0,269.85,2581.95,0.0,0.0
CA08,2018,COOK PAUL,Republican Party,Incumbent,757325.27,232635.41,516149.0,0.0,783696.35,544843.19,0.0
CA08,2018,DONNELLY TIMOTHY M.,Republican Party,Challenger,105242.95,103481.96,400.0,0.0,95778.41,9464.54,3358.33
CA08,2018,DOYLE MARGE,Democratic Party,Challenger,416177.89,399720.08,3859.8,2018.0,350985.89,73547.71,4484.07
CA08,2018,RAMIREZ-DEAN RITA DR,Democratic Party,Challenger,369.01,369.01,0.0,0.0,4514.56,3245.54,30102.04
CA09,2018,MCNERNEY GERALD MARK,Democratic Party,Incumbent,859917.4,562415.89,295244.32,0.0,451842.07,618551.79,2954.15
CA09,2018,HOWZE TED D II,Republican Party,Challenger,6000.0,0.0,5000.0,1000.0,0.0,6000.0,1000.0
CA09,2018,LIVENGOOD MARLA,Republican Party,Challenger,51540.5,49758.62,1500.0,0.0,29912.12,21628.38,0.0
CA10,2018,DENHAM JEFF,Republican Party,Incumbent,3466179.74,1132036.9,1898115.21,0.0,1398338.23,2394293.87,16832.16
CA10,2018,BARKLEY MICHAEL JAMES,Democratic Party,Challenger,46937.78,858.64,0.0,13673.77,13832.37,1031.34,46139.31
CA10,2018,BATTISTA LISA,Democratic Party,Challenger,7028.37,6503.58,0.0,524.79,1840.64,5187.73,524.79
CA10,2018,BEDOLLA MATEO MORELOS,Democratic Party,Challenger,440.13,340.13,0.0,100.0,440.13,0.0,0.0
CA10,2018,EGGMAN MICHAEL RAY,Democratic Party,Challenger,341820.52,279896.29,34500.0,0.0,388587.43,8928.37,1609.74
CA10,2018,HARDER JOSH,Democratic Party,Challenger,2550405.08,2381945.89,116758.73,0.0,1491514.78,1058890.3,0.0
CA10,2018,MADUENO VIRGINIA,Democratic Party,Challenger,355179.26,313776.7,29000.0,12402.56,324736.34,30442.92,10000.0
CA10,2018,NYGARD DOROTHY (DOTTY),Democratic Party,Challenger,68767.16,63413.21,3000.0,0.0,68767.16,0.0,0.0
CA10,2018,SNOVER TERRA EVA,Other,Challenger,428.0,428.0,0.0,0.0,337.81,590.19,0.0
CA10,2018,VAUGHN SETH MICHAEL,Democratic Party,Challenger,969.85,552.43,0.0,417.42,969.85,0.0,0.0
CA10,2018,ZWAHLEN SUE,Democratic Party,Challenger,479395.06,112972.7,0.0,366420.94,478958.82,436.24,360665.54
CA11,2018,DESAULNIER MARK,Democratic Party,Incumbent,451857.31,176665.17,273600.0,0.0,340721.18,335636.42,0.0
CA11,2018,LYTTON ALVA,Democratic Party,Challenger,23298.98,5979.87,0.0,14725.76,20631.92,2667.06,4820.77
CA12,2018,PELOSI NANCY,Democratic Party,Incumbent,3364124.23,2176410.6,873500.0,0.0,3611324.69,1573617.39,0.0
CA12,2018,BUTTAR SHAHID,Democratic Party,Challenger,66004.89,64872.81,0.0,945.0,65368.21,636.68,5060.28
CA12,2018,HERMANSON BARRY,Other,Challenger,7114.85,762.0,0.0,6352.85,7114.85,0.0,0.0
CA12,2018,JAFFE STEPHEN R,Democratic Party,Challenger,102388.0,82084.09,4954.9,0.0,100864.58,1071.02,40207.98
CA12,2018,KHOJASTEH RYAN,Democratic Party,Challenger,53875.21,50774.23,500.0,1300.0,53647.29,227.92,0.0
CA12,2018,REMMER LISA,Republican Party,Challenger,14635.0,3635.0,0.0,10000.0,2666.91,11968.09,17264.72
CA13,2018,LEE BARBARA,Democratic Party,Incumbent,1294640.16,1022157.38,264767.06,0.0,1233229.64,99542.48,4401.75
CA14,2018,SPEIER JACKIE,Democratic Party,Incumbent,816387.28,581627.76,228629.74,0.0,507614.8,1851666.15,1325.47
CA15,2018,SWALWELL ERIC MICHAEL,Democratic Party,Incumbent,2131974.93,1392320.79,720480.0,0.0,1646895.37,1499202.56,0.0
CA15,2018,PETERS RUDY PETERS,Republican Party,Challenger,16150.0,10575.0,0.0,5075.0,10118.05,6031.95,10760.26
CA15,2018,ST JOHN ERICK BRENDAN,Other,Challenger,9348.0,7843.0,0.0,1360.0,9251.86,96.14,0.0
CA16,2018,COSTA JIM,Democratic Party,Incumbent,1152895.32,445271.0,700350.86,0.0,618104.69,1151466.77,60558.85
CA16,2018,HENG ELIZABETH,Republican Party,Challenger,312732.7,247980.83,61500.0,3251.87,197412.41,115320.29,0.0
CA17,2018,KHANNA ROHIT,Democratic Party,Incumbent,2203969.98,2197421.12,2000.0,0.0,1506072.93,752988.92,105481.75
CA17,2018,COHEN RONALD H,Republican Party,Challenger,3446.0,0.0,0.06,3446.0,2774.0,630.0,0.0
CA17,2018,TRAN KHANH,Democratic Party,Challenger,7265.0,7000.0,0.0,265.0,7208.91,56.09,265.0
CA18,2018,ESHOO ANNA G,Democratic Party,Incumbent,1021364.98,622837.33,393150.0,0.0,961010.14,462823.01,2704.02
CA19,2018,LOFGREN ZOE,Democratic Party,Incumbent,1369556.42,837676.7,348600.0,0.0,1286074.3,1358594.21,0.0
CA20,2018,PANETTA JIMMY,Democratic Party,Incumbent,884130.62,321653.51,561633.58,0.0,418268.75,695317.36,10000.0
CA20,2018,CHEADER ROBERT NEIL,Other,Challenger,50.0,50.0,0.0,50.0,55.0,0.0,0.0
CA21,2018,VALADAO DAVID,Republican Party,Incumbent,2305339.89,792993.46,1167566.93,0.0,729253.76,1625257.94,0.0
CA21,2018,COX TERRANCE JOHN (TJ),Democratic Party,Challenger,1326531.95,832113.11,195360.82,265500.0,375245.23,951286.72,257500.0
CA21,2018,HUERTA EMILIO J. MR.,Democratic Party,Challenger,110938.1,108799.39,2000.0,0.0,174158.16,55616.99,0.0
CA22,2018,NUNES DEVIN GERALD,Republican Party,Incumbent,7428562.65,6103156.12,1220617.31,0.0,4497877.51,6108585.41,0.0
CA22,2018,BLIATOUT BOBBY,Democratic Party,Challenger,286937.91,105154.47,0.0,179083.44,284617.81,2320.1,108917.2
CA22,2018,FRANCO RICARDO JOSE,Democratic Party,Challenger,50278.53,44736.53,1000.0,4542.0,47422.96,2855.57,17376.13
CA22,2018,JANZ ANDREW,Democratic Party,Challenger,2872385.87,2819783.31,52420.5,0.0,1748230.14,1124155.73,0.0
CA23,2018,MCCARTHY KEVIN,Republican Party,Incumbent,6583490.15,437991.45,2541400.0,0.0,3965736.11,4135573.21,10000.0
CA23,2018,BARRO MARY,Democratic Party,Challenger,9371.04,654.0,0.0,8717.04,9300.47,70.57,5323.31
CA23,2018,MATTA TATIANA,Democratic Party,Challenger,34974.57,33556.21,0.0,1418.36,28835.46,6103.13,0.0
CA23,2018,OWEN ROBERT THURMAN III,Democratic Party,Challenger,17660.12,17660.12,0.0,0.0,19435.12,0.0,0.0
CA23,2018,REED WENDY,Democratic Party,Challenger,26781.37,21269.46,1000.0,4499.23,26151.69,629.68,3799.23
CA23,2018,WILSON KURTIS,Democratic Party,Challenger,11879.79,8348.0,0.0,3531.79,11753.76,126.03,3051.65
CA24,2018,CARBAJAL SALUD,Democratic Party,Incumbent,2223453.59,1579628.98,625334.41,0.0,711479.52,1564265.93,0.0
CA24,2018,FAREED JUSTIN,Republican Party,Challenger,763813.38,704723.21,53500.0,0.0,575137.09,245933.02,111937.77
CA24,2018,WOODY MICHAEL,Republican Party,Challenger,156322.9,19600.0,1000.0,135500.0,153161.79,3161.11,94500.0
CA25,2018,KNIGHT STEVE,Republican Party,Incumbent,1703743.51,548937.67,922114.59,0.0,439770.65,1301165.3,9628.32
CA25,2018,CAFORIO BRYAN,Democratic Party,Challenger,1211532.6,1014668.02,62683.5,108682.51,1193628.87,20881.33,96000.0
CA25,2018,GREENAWAY DIEDRA MICHELLE,Democratic Party,Challenger,4257.48,2557.48,0.0,0.0,4257.48,0.0,0.0
CA25,2018,HILL KATHERINE LAUREN,Democratic Party,Challenger,2451456.61,2215921.16,192137.67,13938.06,1598614.93,852841.68,0.0
CA25,2018,MASTERMAN-SMITH MIKE,Democratic Party,Challenger,12369.14,250.0,0.0,12119.14,0.0,12419.14,12119.14
CA25,2018,MCVARISH SCOTT,Democratic Party,Challenger,38075.0,23075.0,0.0,0.0,38075.0,0.0,0.0
CA25,2018,PALLANT MARY,Democratic Party,Challenger,8295.09,2257.0,0.0,6038.09,8295.09,0.0,2632.09
CA25,2018,PHOENIX JESS,Democratic Party,Challenger,491148.11,482039.19,3850.0,2645.7,484657.0,6491.11,0.0
CA26,2018,BROWNLEY JULIA,Democratic Party,Incumbent,2064450.74,1244799.52,754569.81,0.0,538219.33,3181374.68,0.0
CA26,2018,BURUM JEFFREY DAVID MAJ (RET),Republican Party,Challenger,38244.27,4715.0,0.0,33272.29,38244.27,0.0,33272.29
CA26,2018,DAGNESSES RAFAEL,Republican Party,Challenger,3241.0,1741.0,0.0,0.0,3241.0,0.0,0.0
CA26,2018,NELSON JOHN,Democratic Party,Challenger,17322.0,10582.0,0.0,6740.0,14217.5,3104.5,6740.0
CA26,2018,SABATO ANTONIO,Republican Party,Challenger,200928.0,191183.3,8000.0,300.0,169344.98,31583.02,40752.57
CA26,2018,SKELTON SHANE JOHN,Republican Party,Challenger,61357.6,56170.0,4000.0,1187.6,61357.6,0.0,0.0
CA27,2018,CHU JUDY,Democratic Party,Incumbent,983200.47,581403.04,392825.0,0.0,563329.04,2479874.37,7077.46
CA27,2018,CARDENAS BEATRICE I,Republican Party,Challenger,1731.0,1631.0,0.0,0.0,2271.1,-540.1,100.0
CA27,2018,WITT BRYAN,Democratic Party,Challenger,8130.1,2630.1,0.0,5250.0,7229.98,964.4,25500.0
CA28,2018,SCHIFF ADAM,Democratic Party,Incumbent,4638216.46,3888720.61,387250.0,0.0,2402399.51,4342230.13,0.0
CA28,2018,NALBANDIAN JOHNNY,Republican Party,Challenger,17791.0,16791.0,0.0,1000.0,17550.01,240.99,3068.5
CA28,2018,SHAYANI PAYAM MARK MR.,Other,Challenger,112921.12,0.0,0.0,112910.0,112899.27,21.85,0.0
CA29,2018,CARDENAS TONY,Democratic Party,Incumbent,1231855.6,495419.02,727650.97,0.0,1171003.74,344678.37,0.0
CA29,2018,BERNAL BENITO BENNY,Republican Party,Challenger,3800.0,600.0,0.0,3200.0,3768.0,80.0,2700.0
CA29,2018,DUENAS ANGELICA,Other,Challenger,7468.4,6886.85,0.0,381.55,7482.58,-14.18,0.0
CA30,2018,SHERMAN BRAD,Democratic Party,Incumbent,972184.0,557032.17,409849.0,0.0,435890.85,1912966.68,4140.69
CA30,2018,PELZER JONATHAN,Democratic Party,Challenger,74257.7,21150.46,0.0,53107.24,73402.17,855.53,50500.0
CA30,2018,RAB AEJAZ (RAJI),Democratic Party,Challenger,89950.0,29950.0,0.0,60000.0,83552.41,10190.22,124611.25
CA31,2018,AGUILAR PETE,Democratic Party,Incumbent,2120678.83,1329243.15,739258.5,0.0,1014364.41,2057087.39,0.0
CA31,2018,FLYNN SEAN,Republican Party,Challenger,907967.29,245554.61,3700.0,637963.99,639400.06,305152.69,660502.7
CA32,2018,NAPOLITANO GRACE,Democratic Party,Incumbent,242693.81,56381.87,185100.0,0.0,114434.72,272951.24,0.0
