,state_district,election,name,party,incumbent_challenger_open,receipts,from_individuals,from_committees,from_candidate,disbursements,cash_on_hand,debts,total_pop,male_pop_percent,female_pop_percent,under_five_percent,five_to_nine_percent,ten_to_fourteen_percent,fifteen_nineteen_percent,twenty_to_twentyfour_percent,twentyfive_to_thirtyfour_percent,thirtyfive_to_fortyfour_percent,fortyfive_to_fiftyfour_percent,fiftyfive_to_fiftynine_percent,sixty_to_sixtyfour_percent,sixtyfive_to_seventyfour_percent,seventyfive_to_eightyfour_percent,over_eightyfive_percent,median_age,eighteen_and_over_percent,twentyone_and_over_percent,sixtytwo_and_over_percent,sixtyfive_and_over_percent,eighteen_and_over_male_percent,eighteen_and_over_female_percent,sixtyfive_and_over_male_percent,sixtyfive_and_over_female_percent,white_pop_percent,black_pop_percent,american_indian_alaska_native_pop_percent,asian_pop_percent,native_hawaiian_pacific_islander_pop_percent,other_race_pop_percent,hispanic_pop_percent,total_housing_units,spent,won,lost,years_in_service
1347,CO04,2014.0,LAFFEY STEPHEN PATRICK,Republican Party,Open,458651.09,107401.0,0.0,350000.0,442343.99,16307.1,350000.0,748624.0,50.4,49.6,6.6,7.5,7.4,7.0,5.9,12.5,13.9,14.5,6.5,6.0,7.3,3.3,1.5,37.3,74.2,70.2,15.5,12.1,50.3,49.7,46.4,53.6,72.8,1.1,0.4,1.7,0.1,0.1,21.9,289253.0,0,0,1,0.0
1348,CA31,2014.0,TILLMAN DANNY,Democratic Party,Open,38226.0,35142.0,0.0,5034.0,36988.0,0.0,207.0,725024.0,49.8,50.2,7.9,7.4,7.8,8.0,8.5,14.9,13.6,12.3,5.5,4.7,5.5,2.7,1.2,31.8,72.4,67.1,11.9,9.4,49.2,50.8,44.8,55.2,28.5,10.4,0.2,7.1,0.2,0.3,51.6,229671.0,0,0,1,0.0
1349,OR02,2014.0,WALDEN GREGORY P MR.,Republican Party,Incumbent,2659550.91,1103849.85,1531249.74,0.0,2585957.68,1036192.11,0.0,778062.0,50.1,49.9,5.9,6.3,6.2,6.3,5.7,11.8,11.7,12.8,7.2,7.5,10.7,5.3,2.5,42.1,77.8,74.4,22.9,18.6,49.6,50.4,47.2,52.8,80.7,0.5,1.5,1.0,0.2,0.1,13.1,355061.0,3463666,1,0,15.0
1350,MA05,2014.0,KOUTOUJIAN PETER J,Democratic Party,Open,1046792.31,995343.49,48975.0,0.0,1046792.31,0.0,0.0,754065.0,48.2,51.8,5.9,5.4,5.6,6.2,7.1,15.8,13.5,14.5,6.9,4.9,7.6,4.2,2.4,38.0,79.8,75.4,17.0,14.2,47.5,52.5,41.4,58.6,74.4,4.4,0.1,9.7,0.0,0.4,8.8,301653.0,0,0,1,0.0
1351,NY23,2014.0,REED THOMAS W II,Republican Party,Incumbent,2545349.52,989237.19,1401734.98,0.0,1386561.7,1274305.79,0.0,716427.0,49.5,50.5,5.1,5.6,6.1,8.2,8.2,11.4,11.1,14.0,7.3,6.6,9.0,5.1,2.2,40.0,79.3,72.9,20.2,16.4,48.9,51.1,44.3,55.7,89.2,2.8,0.5,2.2,0.0,0.0,3.6,337296.0,3471223,1,0,4.0
1352,RI02,2014.0,LANGEVIN JAMES R. HONORABLE,Democratic Party,Incumbent,837558.52,361170.46,415810.0,0.0,582675.87,405000.77,42525.53,523170.0,48.8,51.2,5.1,5.6,5.6,7.4,7.9,11.8,12.4,15.2,7.4,6.3,8.2,4.2,2.9,40.5,79.7,74.5,19.0,15.3,48.2,51.8,42.0,58.0,80.2,3.5,0.3,3.1,0.0,0.3,10.8,227981.0,811117,1,0,13.0
1353,TX21,2014.0,MCCALL BRIAN MATTHEW,Republican Party,Challenger,130884.85,94685.0,0.0,36075.36,129219.56,1665.29,36000.0,743443.0,48.6,51.4,5.4,5.2,6.0,6.6,7.9,15.9,12.3,13.6,6.3,6.3,8.3,4.1,2.1,37.9,79.7,75.0,18.0,14.5,48.2,51.8,45.1,54.9,64.8,3.4,0.1,2.9,0.1,0.0,26.9,339840.0,0,0,1,0.0
1354,AZ02,2014.0,MARTIN EDWARD T,Republican Party,Challenger,14236.0,10010.0,0.0,2000.0,11902.0,539.0,0.0,717970.0,49.1,50.9,5.8,6.0,5.5,6.0,8.3,13.0,11.1,12.4,6.9,6.0,10.3,6.4,2.4,40.2,79.3,74.8,22.7,19.0,48.9,51.1,44.4,55.6,62.5,4.0,0.9,3.0,0.2,0.2,26.5,343355.0,0,0,1,0.0
1355,LA06,2014.0,WHITNEY LENAR,Republican Party,Open,123172.76,121672.76,1500.0,0.0,18220.42,104952.34,0.0,773429.0,48.7,51.3,6.3,7.0,7.0,6.9,8.3,14.3,12.5,13.4,6.6,5.6,7.1,3.4,1.5,35.1,75.8,70.9,15.2,12.0,48.2,51.8,44.6,55.4,67.9,24.1,0.4,2.0,0.0,0.1,4.0,318363.0,0,0,1,0.0
1356,GA01,2014.0,MARTIN EARL THOMAS MD,Republican Party,Open,27474.0,260.0,0.0,27214.0,27474.0,0.0,0.0,721388.0,48.6,51.4,7.1,6.6,7.1,6.9,8.2,14.5,12.6,12.7,6.1,5.5,7.9,3.4,1.4,34.7,75.3,70.7,15.9,12.7,48.3,51.7,43.4,56.6,59.8,29.7,0.3,1.5,0.0,0.1,6.3,311470.0,0,0,1,0.0
